County,Elevation ,Date,ppt ,tmin ,tmean ,tmax ,tdmean ,vpdmin ,vpdmax 
Alpine,8161,2007-03,1.83,25.1,36.5,47.8,11.9,1.91,9.7
Alpine,8161,2007-04,2.73,27.2,38,48.8,14.5,2.02,9.94
Alpine,8161,2007-05,1.05,34.3,46.2,58.1,17.2,3.12,13.11
Alpine,8161,2007-06,0.25,41.4,53.7,66,22.7,5.2,17.57
Alpine,8161,2007-07,0.02,50.9,62.6,74.3,28.6,6.87,22.36
Alpine,8161,2007-08,0.42,50.3,61.7,73.1,24.5,9.09,22.87
Alpine,8161,2007-09,1.17,39.9,50.6,61.3,25,3.14,16.08
Alpine,8161,2007-10,1.72,31.8,41.9,52,18.8,2.31,10.29
Alpine,8161,2007-11,0.88,29.5,40,50.5,13.2,2.74,9.43
Alpine,8161,2007-12,6.02,18.2,26.8,35.5,10.6,0.82,4.19
Alpine,8161,2008-01,11.62,16.9,25.2,33.6,9,0.97,4.1
Alpine,8161,2008-02,7.99,19.2,29.8,40.5,11.2,1.26,6.26
Alpine,8161,2008-03,1.41,22.4,33.2,44.1,9.9,1.41,6.99
Alpine,8161,2008-04,0.71,24.2,35.5,46.8,8.6,2.09,8.69
Alpine,8161,2008-05,2.27,32.4,42.5,52.6,18.6,2.34,11.41
Alpine,8161,2008-06,0,40.7,52.5,64.3,18.8,4.81,17.73
Alpine,8161,2008-07,0.86,49.9,61.3,72.8,25.8,7.34,24.08
Alpine,8161,2008-08,0.02,50.6,61.9,73.2,26.8,8.06,24.34
Alpine,8161,2008-09,0.02,43.4,55.3,67.1,17.5,5.89,20.25
Alpine,8161,2008-10,1.83,33.9,45,56.1,14,3.72,13.6
Alpine,8161,2008-11,6.15,29.9,38.8,47.6,19.6,1.83,8.11
Alpine,8161,2008-12,7.47,19.9,29.5,39.2,9,1.35,6.1
Alpine,8161,2009-01,4.77,22.8,32.8,42.9,6.6,2.1,6.86
Alpine,8161,2009-02,8.31,19.7,28.3,36.9,11.4,0.92,5.14
Alpine,8161,2009-03,8.57,19.8,30.7,41.5,10.2,1.29,7.08
Alpine,8161,2009-04,2.25,24.4,35.8,47.2,10.9,1.83,9.37
Alpine,8161,2009-05,3.55,36.4,47.5,58.6,19.5,3.5,14.09
Alpine,8161,2009-06,1,38.4,48.4,58.4,26.7,2.75,12.9
Alpine,8161,2009-07,0.25,49.9,61.1,72.3,25.1,8.55,24.49
Alpine,8161,2009-08,0.58,46.9,58.1,69.4,24.9,7.15,21.26
Alpine,8161,2009-09,0.13,46.4,57.7,69.1,22.1,7.48,20.94
Alpine,8161,2009-10,5.32,30.1,40.6,51.2,17.8,1.9,10.06
Alpine,8161,2009-11,2.89,28.1,37.5,47,10.2,2.76,9.57
Alpine,8161,2009-12,7.01,18.2,27.4,36.6,9.5,1.07,5.19
Alpine,8161,2010-01,9.47,22.3,30.6,38.9,15,0.76,4.9
Alpine,8161,2010-02,5.68,21.4,30.4,39.4,15.9,0.55,4.99
Alpine,8161,2010-03,5.08,20.6,31.4,42.3,11.7,1.04,6.54
Alpine,8161,2010-04,7.24,21.1,31.7,42.3,13.8,0.97,7.01
Alpine,8161,2010-05,3.23,26.1,36.2,46.3,15.1,1.59,8.36
Alpine,8161,2010-06,0.23,40,50,60.1,24.5,3.95,14.3
Alpine,8161,2010-07,0.36,48.6,60.1,71.6,29.5,5.48,21.78
Alpine,8161,2010-08,0.49,45.7,56.8,68,26.4,5.29,19.73
Alpine,8161,2010-09,0.07,42.2,54.4,66.6,20.6,6.46,19.95
Alpine,8161,2010-10,8.9,35.5,44,52.5,25.1,2.06,9.25
Alpine,8161,2010-11,8.23,23.3,32.7,42.1,14.4,1.5,7.27
Alpine,8161,2010-12,15.95,24.2,31.4,38.6,17.5,0.82,4.58
Alpine,8161,2011-01,2.15,20.6,32.2,43.7,9.3,1.37,7.54
Alpine,8161,2011-02,7.78,14.8,25.3,35.8,6.4,0.89,5.27
Alpine,8161,2011-03,15.92,21.6,29.7,37.9,13.6,0.92,4.86
Alpine,8161,2011-04,3.77,24.1,34.4,44.8,13.6,1.23,8.05
Alpine,8161,2011-05,3.47,27.2,37.4,47.6,15.5,1.8,8.87
Alpine,8161,2011-06,3.54,36.4,47.1,57.8,25.8,2.93,12.56
Alpine,8161,2011-07,0.61,45.8,57,68.3,27.9,5.48,19.16
Alpine,8161,2011-08,0,47.6,59.1,70.6,26.8,6.06,21.41
Alpine,8161,2011-09,1.76,45.1,56.2,67.3,24.8,5.63,18.59
Alpine,8161,2011-10,3.34,34.9,45.4,56,22.4,2.61,12.23
Alpine,8161,2011-11,1.83,25.1,34.3,43.5,10.8,1.72,7.17
Alpine,8161,2011-12,0.16,20.1,30,39.9,1.1,1.78,7.22
Alpine,8161,2012-01,6.16,24.4,34.1,43.8,5.6,2.34,7.63
Alpine,8161,2012-02,1.59,19.4,29.9,40.3,7.6,1.11,6.48
Alpine,8161,2012-03,9.9,23.4,32,40.6,10.6,1.65,6.09
Alpine,8161,2012-04,4.4,27,37.9,48.7,14.9,1.9,9.41
Alpine,8161,2012-05,0.46,34.1,45.5,56.9,15,3.24,14.25
Alpine,8161,2012-06,0.8,39.2,51.3,63.5,20.8,4.02,16.78
Alpine,8161,2012-07,0.11,49,60,71,22.7,7.28,22.1
Alpine,8161,2012-08,1.39,51.8,62.9,74,28.1,7.07,24.23
Alpine,8161,2012-09,0.22,46.8,57.9,68.9,21.6,7.05,20.84
Alpine,8161,2012-10,3.04,36.1,46.7,57.3,18.6,3.66,13.63
Alpine,8161,2012-11,5.12,29.3,37.8,46.3,16,2.07,8.28
Alpine,8161,2012-12,15.63,19.9,27,34.2,15.2,0.57,3.26
Alpine,8161,2013-01,1.78,17.2,28.1,39,5.8,1.28,6.37
Alpine,8161,2013-02,0.75,17.7,28.9,40.1,6.9,1.12,6.94
Alpine,8161,2013-03,3.16,26.5,36.7,47,13,1.78,8.66
Alpine,8161,2013-04,2.3,28.5,39.5,50.5,13.1,2.2,10.83
Alpine,8161,2013-05,2.24,34.5,44.6,54.8,15.1,3.06,12.34
Alpine,8161,2013-06,0.71,42.9,54.5,66,24.2,5.38,18.93
Alpine,8161,2013-07,1.38,51.7,62.6,73.5,28.7,8,24.33
Alpine,8161,2013-08,0.29,47.9,58.2,68.5,25.9,6.83,21.26
Alpine,8161,2013-09,0.75,42.8,53.1,63.4,27.9,3.79,15.35
Alpine,8161,2013-10,1,31.6,42.4,53.2,12.2,3.07,11.49
Alpine,8161,2013-11,1.16,28.6,37.7,46.8,13.9,2.16,7.99
Alpine,8161,2013-12,2.69,20.3,31.6,42.9,5.1,2.09,7.77
Alpine,8161,2014-01,3.11,26.7,36.8,47,7.4,2.59,8.49
Alpine,8161,2014-02,8.82,23.7,32.8,41.9,14.2,1.3,6.17
Alpine,8161,2014-03,5.61,25.3,35,44.7,13.5,1.55,7.34
Alpine,8161,2014-04,3.28,27.5,38.5,49.5,14.2,2.27,10.05
Alpine,8161,2014-05,1.5,34.7,45.1,55.6,14.3,3.9,13.13
Alpine,8161,2014-06,0.08,43,54.1,65.2,16.8,6.67,18.8
Alpine,8161,2014-07,1.76,51.2,62.4,73.5,31.1,7.85,23.24
Alpine,8161,2014-08,1.55,48,58,68.1,32.2,4.86,18.17
Alpine,8161,2014-09,1.91,45.2,55.4,65.6,28,5.64,17.18
Alpine,8161,2014-10,0.89,37.7,48.8,59.9,17.9,4.29,14.5
Alpine,8161,2014-11,3.02,30.2,39.4,48.5,15.4,2.58,8.57
Alpine,8161,2014-12,6.97,24.7,31.8,38.8,17.6,0.88,4.63
Alpine,8161,2015-01,0.31,26.4,36,45.6,13.2,1.82,7.27
Alpine,8161,2015-02,6.18,28.5,38.4,48.4,13,2.24,9.04
Alpine,8161,2015-03,1.39,28.7,39.3,49.8,13.7,2.53,9.96
Alpine,8161,2015-04,3.24,27.4,38,48.6,10,2.35,10.01
Alpine,8161,2015-05,3.25,34.4,43,51.6,22.2,2.45,9.29
Alpine,8161,2015-06,1.01,46.3,56.9,67.5,25,6.67,19.3
Alpine,8161,2015-07,2.26,46.6,56.9,67.1,31.2,5.21,17.29
Alpine,8161,2015-08,0.26,49.6,60.4,71.3,27,7.3,21.82
Alpine,8161,2015-09,0.52,45.6,56.2,66.9,21.2,6.93,19.09
Alpine,8161,2015-10,2.95,38.6,47.9,57.1,26,2.92,11.49
Alpine,8161,2015-11,5.57,22.4,31.7,40.9,13,1.59,6.31
Alpine,8161,2015-12,10.18,19.1,27.3,35.6,10.8,1.24,4.37
Amador,2511,2005-01,10.98,38.1,47.8,57.6,36.9,0.83,8.21
Amador,2511,2005-02,4.83,43.5,54.3,65.1,38.6,0.59,8.1
Amador,2511,2005-03,10.11,40.7,51.7,62.7,37.5,1.15,10.97
Amador,2511,2005-04,2.37,41,54.3,67.7,38.7,0.74,14.61
Amador,2511,2005-05,4.23,47.5,60.8,74.1,46.5,0.94,18.4
Amador,2511,2005-06,1.38,49.1,64.9,80.7,45.3,1.47,25.75
Amador,2511,2005-07,0,62.7,79.9,97,51.1,6.08,47.12
Amador,2511,2005-08,0,62.4,79.4,96.4,43.8,9,49.45
Amador,2511,2005-09,0.46,52,68.8,85.6,39.2,4.52,34.86
Amador,2511,2005-10,0.61,47.7,62.6,77.6,39.2,2.49,25.16
Amador,2511,2005-11,2.22,43.3,55.2,67.1,34.3,2.39,16.59
Amador,2511,2005-12,16.01,39.1,47.4,55.8,37.4,0.45,7.27
Amador,2511,2006-01,8.12,37.7,46.2,54.7,35.5,0.6,6.97
Amador,2511,2006-02,4,38.5,49.6,60.7,30.5,1.76,13.17
Amador,2511,2006-03,11.52,34.3,43.5,52.7,33,0.44,7.07
Amador,2511,2006-04,11.93,42.4,52.5,62.5,42.1,0.29,9.61
Amador,2511,2006-05,1.45,50.4,64.3,78.3,44.3,2.64,23.39
Amador,2511,2006-06,0,57.7,73,88.2,46.9,5.26,34.38
Amador,2511,2006-07,0,65.2,81.1,97,45.8,9.95,49.32
Amador,2511,2006-08,0,58.4,74.7,91.1,41.2,7.13,39.54
Amador,2511,2006-09,0,56.2,72.5,88.8,35.2,8.34,39.05
Amador,2511,2006-10,0.85,46.6,59.9,73.3,34.6,3.42,20.46
Amador,2511,2006-11,3.11,41,50.5,60,37.8,0.92,9.31
Amador,2511,2006-12,5.56,36.3,45.2,54.2,29.9,1.35,8.56
Amador,2511,2007-01,1.77,33.1,43.7,54.3,24.4,2.11,8.86
Amador,2511,2007-02,10.36,36.9,46.3,55.7,34.5,0.82,7.98
Amador,2511,2007-03,1.5,41.1,54.3,67.4,36.2,1.6,15.53
Amador,2511,2007-04,2.87,42.3,54.4,66.4,37.7,1.63,14.62
Amador,2511,2007-05,0.8,48.5,63.8,79.1,40.3,2.9,25.22
Amador,2511,2007-06,0.07,54,70.2,86.3,42.1,4.53,33.79
Amador,2511,2007-07,0,60.3,76.5,92.7,46.2,6.84,39.74
Amador,2511,2007-08,0,60.9,77.1,93.3,43.4,9.07,40.36
Amador,2511,2007-09,0.44,53.1,68.1,83,42.7,3.78,27.39
Amador,2511,2007-10,1.84,46.7,58.6,70.5,37.4,2.62,17.91
Amador,2511,2007-11,1.15,43.9,55.7,67.4,33.3,3.08,14.02
Amador,2511,2007-12,5.85,33.7,42,50.3,29.1,0.73,6.11
Amador,2511,2008-01,10.04,34.6,42.1,49.7,31.1,0.67,6.1
Amador,2511,2008-02,5.38,35.9,46.1,56.3,31.6,1.09,9.53
Amador,2511,2008-03,0.71,39.5,51.3,63.1,32.2,1.71,12.49
Amador,2511,2008-04,0.16,39.7,53,66.3,31.2,2.52,15.7
Amador,2511,2008-05,1.04,48.5,61.9,75.2,37.5,3.85,23.02
Amador,2511,2008-06,0,55.4,70.9,86.3,36.8,7.14,35.42
Amador,2511,2008-07,0,61.1,76.6,92.1,43.3,8.13,40.8
Amador,2511,2008-08,0,61.7,77.3,93,40.5,9.46,42.8
Amador,2511,2008-09,0,56.6,72.6,88.6,34.5,9.09,38.34
Amador,2511,2008-10,1.24,49.4,63,76.5,32.6,5.76,23.5
Amador,2511,2008-11,3.56,44,54.5,65,39,1.66,12.3
Amador,2511,2008-12,5.14,33.2,42.5,51.7,30.6,0.71,7.34
Amador,2511,2009-01,3.86,37.7,48,58.3,30.9,1.92,11.21
Amador,2511,2009-02,7.49,36.7,46,55.3,33.1,0.95,8.24
Amador,2511,2009-03,5.28,36.8,48.5,60.1,33.1,1,10.66
Amador,2511,2009-04,1.93,39.8,52.5,65.2,33.3,1.98,14.45
Amador,2511,2009-05,3.17,51,64.7,78.3,43.3,3.37,23.31
Amador,2511,2009-06,0.1,51.9,66.1,80.3,44.2,3.41,26.04
Amador,2511,2009-07,0,61.3,77.4,93.4,42.2,8.72,43.38
Amador,2511,2009-08,0,59.8,75.2,90.6,40.8,8.16,40.01
Amador,2511,2009-09,0.13,58.8,74,89.1,38.8,8.55,38.86
Amador,2511,2009-10,3.16,45.8,57.5,69.3,37,2.34,15.91
Amador,2511,2009-11,1.15,41.4,52,62.5,33.6,1.92,12.76
Amador,2511,2009-12,6.66,34.6,43,51.5,31,0.86,6.63
Amador,2511,2010-01,7.8,38.3,46.2,54,35.8,0.68,7.02
Amador,2511,2010-02,4.89,38.3,46.9,55.5,37.5,0.32,6.88
Amador,2511,2010-03,4.43,37.6,48.8,60,34.1,0.99,10.78
Amador,2511,2010-04,7.21,38.3,47.9,57.5,37.2,0.7,8.68
Amador,2511,2010-05,3.7,42.2,53.9,65.5,37.8,1.5,13.41
Amador,2511,2010-06,0.04,53.5,67.2,80.9,45.3,3.04,25.44
Amador,2511,2010-07,0,60,75.4,90.8,47.4,5.33,34.29
Amador,2511,2010-08,0,57.8,72.9,88.1,41.3,6.72,35.52
Amador,2511,2010-09,0,55.6,70.6,85.7,39.7,6.64,34.09
Amador,2511,2010-10,5.92,50.4,61.4,72.3,42.1,3.12,18.38
Amador,2511,2010-11,7.32,39,48.6,58.1,33.7,1.47,9.21
Amador,2511,2010-12,13.96,38.6,45.9,53.2,35.6,0.54,5.27
Amador,2511,2011-01,3.02,36.7,45.9,55.1,32.4,1.13,8.6
Amador,2511,2011-02,6.82,33.9,43.9,53.8,27.7,1.27,8.37
Amador,2511,2011-03,14.27,37.1,45.7,54.2,34.9,0.49,6.67
Amador,2511,2011-04,1.41,39.8,51,62.3,37,0.78,10.78
Amador,2511,2011-05,3.6,42.4,54.5,66.5,37,1.73,14.57
Amador,2511,2011-06,3,51.2,64.1,76.9,46,2.59,21.46
Amador,2511,2011-07,0,58.8,73,87.3,48.8,4.49,31.23
Amador,2511,2011-08,0,59.5,75,90.4,44.9,6.78,36.83
Amador,2511,2011-09,0.14,58.8,73.9,88.9,43,7.06,35.92
Amador,2511,2011-10,3.14,49.3,61.1,72.9,42.9,2.27,16.71
Amador,2511,2011-11,1.27,38.4,48.8,59.1,33.3,1.41,9.69
Amador,2511,2011-12,0.06,34.9,45.7,56.6,21.5,2.63,10.56
Amador,2511,2012-01,5.68,37.7,48.6,59.4,26.3,2.73,11.58
Amador,2511,2012-02,1.84,36.3,47.1,57.9,30.3,1.31,9.64
Amador,2511,2012-03,9.56,36.8,46.1,55.4,33,0.87,7.36
Amador,2511,2012-04,6.98,41.4,52.5,63.7,38.1,1.23,11.58
Amador,2511,2012-05,0.2,47.7,61.5,75.3,39,2.93,21.16
Amador,2511,2012-06,0.65,52.1,67.1,82.1,41,4.1,28.2
